Name	Set	ImageFile	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Cardtext
Thiessen Gimmick	3	EN3-123	Resonator	Gimmick	[3]	3	400	300	Void	C	[Break] Put this card into your field.<br />[Target Attack]
Encode Gimmick	3	EN3-124	Resonator	Gimmick	[2]	2	300	300	Void	U	[Enter] Look at the top card of your main deck. You may put that card on the bottom of your main deck.
Tribe Gimmick	3	EN3-125	Resonator	Gimmick	[1]	1	100	200	Void	C	[Enter] Choose a race.<br />[Continuous] As long as this card is in a field, its race is the one chosen upon [Enter].
Monument of Rune	3	EN3-126	Addition: Field		[3]	3			Void	U	[Activate] Pay {1}: Produce one will of any attribute. This ability can be activated only once each turn.
Bind of Silence	3	EN3-127	Addition: Field		[1]	1			Void	C	[Break] Put this card into your hand.<br />[Continuous] Each player cannot pay life.
Time of Ragnarok	3	EN3-128	Spell	Chant	[7]	7			Void	R	Play this if there are no J-Rulers in any fields. Destroy all resonators. Recover all rulers and both player do judgement without paying the judgement cost. If a Ruler cannot do judgement, destroy it.
Gungnir, the Holy Spear	3	EN3-129	Spell	Chant - Instant	[5]	5			Void	R	Destroy target resonator with a total cost 6 or less in a field. You may pay {3}. If you do, put this card into your hand.
Hoenir, the Bishop God	3	EN3-130,EN3-130-j	Ruler				0//1500	0//1000	Void	R	[J-Activate] Pay {W}{W}{B}{B}[2}.<br />[Continuous] Whenever a light magic stone is put into your magic stone area, target resonator gains [+200/+200] until end of turn.<br />[Continuous] Whenever a dark magic stone is put into your magic stone area, target resonator gains [-200/-200] until end of turn.//[Activate] Remove a resonator in your field: If it is a light attribute, this card gains [Target Attack] until end of turn. If it is a dark attribute, this card gains [Pierce] until end of turn.<br />[Activate] Discard all cards in your hand: Recover this card. This ability can be used only once each turn.<br />[Continuous] When this card is put into your field, if it has done judgement other than playing [J-Activate] ability, this card gains [Pierce] and [Target Attack] until end of turn and can attack this turn.
Light Magic Stone	4	EN3-131	Magic Stone							C	[Activate] {Rest}: Produce {W}.
Fire Magic Stone	4	EN3-132	Magic Stone							C	[Activate] {Rest}: Produce {R}.
Water Magic Stone	4	EN3-133	Magic Stone							C	[Activate] {Rest}: Produce {U}.
Wind Magic Stone	4	EN3-134	Magic Stone							C	[Activate] {Rest}: Produce {G}.
Darkness Magic Stone	4	EN3-135	Magic Stone							C	[Activate] {Rest}: Produce {B}.
Aesop, the Prince's Tutor	4	E-CMF-001	Resonator	Human	[w][1]	2	500	500	Light	U	[Continuous] Each Fairy Tale you control cannot be targeted by spells or abilities your opponent controls.
Blinded Prince	4	E-CMF-002	Resonator	Fairy Tale/Human/Prince	[w][1]	2	800	800	Light	C	"[Continuous] This card cannot attack or block.<br />[Activate] Pay {0}: Thi card loses all abilities until end of turn. You cannot play this ability if you don't control ""Rapunzel, the Long-Haired Princess""."
Clothes Tailor	4	E-CMF-003	Resonator	Fairy Tale/Human	[w]	1	300	300	Light	C	[Activate] {Rest}: Move target [Addition: Resonator] you control onto another resonator
Dream of Juliet	4	E-CMF-004	Spell	Chant - Instant	[w][1]	2			Light	C	"Choose one. If you control ""Juliet, the Hope"" and ""Romeo, the Despair"", choose up to three instead - Destroy target addition: or draw a card; or remove target resonator from the game, then put it into its owner's field."
Grimm, the Fairy Tale Prince	4	E-CMF-005-r	Ruler	Human					Light	R	[Continuous] You may pay the attribute cost of Fairy Tale resonators with will of any attribute.<br />[Activate] Pay {1}, discard a Fairy Tale resonator: Search your main deck for a Fairy Tale resonator, reveal it and put it into your hand. Then shuffle your main deck. This ability can be played only once per turn.
Holy Grail	4	E-CMF-006	Addition: Field	Relic	[w]	1			Light	C	[Enter] Destroy target addition<br />[Activate] {Rest}: Remove all damage that was dealt to target J-Ruler this turn.
Jeweled Branch of Horai	4	E-CMF-007	Addition: Field	Treasury Item	[w][1]	2			Light	U	[Activate] Pay {W}, {Rest}: Rest up to two target fire or dark resonators.
Juliet, the Hope	4	E-CMF-008	Resonator	Fairy Tale/Human	[w][1]	2	200	600	Light	SR	"[Continuous] This card cannot be destroyed as lond as you control ""Romeo, the Despair"".<br />[Continuous] As long as you control ""Romeo, the Despair"", each Nightmare resonator loses Nightmare and gains Fairy Tale."
King's Servant	4	E-CMF-009	Resonator	Fairy Tale/Human	[w][1]	2	400	400	Light	C	[Enter] Put target [Addition:Resonator] from your graveyard into your hand.
Knight of Loyalty	4	E-CMF-010	Resonator	Human/Knight	[w][w][1]	3	700	700	Light	C	[Activate] Banish a card: target light J/resonator you control cannot be targeted by spells or abilites until end of turn.
Light of Hope	4	E-CMF-011	Spell	Chant - Standby	[w][1]	2			Light	C	[Trigger] Your life is 2000 or lower: Put target attacking resonator on top of its owner's main deck. Resonators cannot attack until end of turn.
Light Palace, the King's Castle	4	E-CMF-012	Addition: Field	Castle	[w][1]	2			Light	R	[Continuous] Each Human you control gains [+200/+200].<br />[Activate] Pay {W}, banish this card: Destroy target addition.
Pandora, Girl of the Box (light)	4	E-CMF-013-r,E-CMF-013-j	Ruler				0//400	0//800	Void	R	[J-Activate] Pay {W}{B}{3}.//[Enter] Destroy all resonators.
Rapunzel, the Long-Haired Princess	4	E-CMF-014	Resonator	Fairy Tale/Human	[w][w][1]	3	600	600	Light	SR	"[Continuous] This card doesn't recover during the recovery phase.<br />[Activate] Rest a recovered resonator you control other than ""Rapunzel, the Long-Haired Princess"": Recover this card.<br />[Activate] {Rest}: Target resonator gains [+200/+0] and [Flying] until end of turn."
Return to Stories	4	E-CMF-015	Spell	Chant - Instant	[w][1]	2			Light	U	Remove target Nightmare of Fairy Tale resonator from the game.
Silver Stake	4	E-CMF-016	Addition: Resonator	Weapon	[w]	1			Light	C	[Continuous] Resonator with this cannot attack or block if it's a Vampire. Otherwise, it gains [+400/+400] and cannot be targeted by spells or abilities or dealt damage by Vampires.<br />[Activate] Pay {W}: Return this card to its owner's hand.
Tell a Fairy Tale	4	E-CMF-017	Spell	Chant	[w][2]	3			Light	R	"Search your main deck for a Fairy Tale resonator, reveal it and put it into your hand. If your Ruler is ""Grimm, the Fairy Tale Prince"", you may put it into your field instead. This triggers its [Enter] ability. Then shuffle your main deck."
The Emperor with New Clothes	4	E-CMF-018	Resonator	Fairy Tale/Human	[w][2]	3	700	700	Light	U	[Enter] Destroy all [Addition:Resonator] your opponent controls.<br />[Continuous] Opponents canno add [Addition:Resonator].
Tinker Bell, the Spirit	4	E-CMF-019	Resonator	Fairy Tale/Spirit	[w]	1	0	0	Light	R	[Continuous] This card gains [+200/+200] for each Fairy Tale you control
Basket of Little Red	4	E-CMF-020	Addition: Resonator	Arcane Item	[r][r]	2			Fire	C	"[Continuous] Resonator with this gains ""[Activate] {R}: Search your main deck for a card with ""Apple"" in its name, reveal it and put into your hand. Then shuffle your main deck"".<br />[Activate] Pay {Rest}: Return this card to its owner's hand."
Bloody Moon	4	E-CMF-021	Addition: Field	Moon	[r][2]	3			Fire	R	[Continuous] Each Werewolf you control gains [+200/+200].<br />[Activate] Banish this card: Destroy target special magic stone.
Clockwork Apple Bomb	4	E-CMF-022	Spell	Chant - Standby	[r][2]	3			Fire	C	"[Trigger] If your Ruler is ""Snow White"" or your J-Ruler is ""Bloody Snow White"": Destroy blocking resonator and blocked resonator. This card deals 500 damage to each controller of those resonators."
Commander of Wolves	4	E-CMF-023	Resonator	Nightmare/Werewolf	[r][3]	4	900	500	Fire	R	[Enter] This card deals 400 damage to target resonator for each Werewolf you control.
Gilles de Rais, the Golden Dragon	4	E-CMF-024	Resonator	Fantasy/Dragon	[r][r][4]	6	800	1200	Fire	SR	[Flying]<br />[Swiftness] (This card can attack and activate its {Rest} ability in a turn it comes into a field.)<br />[Continuous] This card gains [+200/+0] for each of your fire magic stone.<br />[Continuous] When this card is destroyed, you may banish three of your fire magic stones. If you do, return, this card from your graveyard into your field.
Granny by the Fireplace	4	E-CMF-025	Resonator	Fairy Tale/Human	[r][2]	3	100	1200	Fire	C	[Continuous] Whenever a Werewolf comes into a field: swap ATK and DEF of this card until end of turn.
Hunter in Black Forest	4	E-CMF-026	Resonator	Fairy Tale/Human	[r]	1	300	300	Fire	C	[Swiftness] (This card can attack and activate its {Rest} ability in a turn it comes into a field.)
Little Red Riding Hood	4	E-CMF-027-r,E-CMF-027-j	Ruler				0//1200	0//200	Fire	R	[J-Activate] Pay {0}: You cannot play this ability if you haven't put any Moon into a field this turn.//[Swiftness] (This card can attack and activate its {Rest} ability in a turn it comes into a field.)<br />[Enter] This card deals 800 damage to target resonator.<br />[Continuous] At end of turn, return this card to is Ruler side.
Loup-Garou, the New Moon	4	E-CMF-028	Resonator	Nightmare/Werewolf	[r][r][r]	3	700	700	Fire	SR	[Continuous] Each Werewolf you control gains [Swiftness].<br />[Continuous] Whenever a Werewolf you control attacks, this card deals 100 damage to an opponent. If you control a Moon, this card deals 200 damage instead.
Moon Night Pouncer	4	E-CMF-029	Resonator	Nightmare/Werewolf	[r][1]	2	500	500	Fire	U	[Continuous] Whenever you play a normal spell, this card gains [First Strike] and [Swiftness] until end of turn.
Murderous Snowman	4	E-CMF-030	Resonator	Nightmare/Snow	[r][1]	2	900	900	Fire	C	[Enter] Banish one magic stone you control
Poison Apple	4	E-CMF-031	Spell	Chant - Instant	[r][1]	2			Fire	C	Target resonator you control gains [+1000/+0] until end of turn. At the end of turn, destroy that resonator.
Purifying Fire	4	E-CMF-032	Spell	Chant	[r][1]	2			Fire	U	"Choose one. If your Ruler is ""Nameless Girl"" or your J-Ruler is ""Jeanne d'Arc, the Flame of Hatred"", choose up to two instead - This card deals 700 damage to target player, or this card deals 1000 damage to target Human"
Red Hot Iron Shoes	4	E-CMF-033	Addition: Resonator	Arcane Item	[r][1]	2			Fire	C	[Continuous] Whenever resonator with this becomes rested, this card deals 500 damage to that resonator's controller.
Robe of Fire-Rat	4	E-CMF-034	Addition: Field	Treasury Item	[r][1]	2			Fire	U	[Activate] {Rest}: Prevent all damage from target fire resonator until end of turn.
Seven Dwarfs	4	E-CMF-035	Resonator	Nightmare/Killer	[r][r]	2	700	700	Fire	C	[Continuous] As you choose a card to attack, you must choose this card if able.
Snow White	4	E-CMF-036-r,E-CMF-036-j	Ruler				0//1300	0//1300	Fire	R	"[J-Activate] Pay {W}{R}{2}.<br />[J-Activate] Pay {1}, discard ""Poison Apple"".//[Target Attack] (This card can attack against recovered J/resonator.)<br />[Activate] {Rest}: Rest target J/resonator.<br />[Activate] Pay {1}, discard ""Poison Apple"": Destroy target resonator."
Wolf-Haunted in Black Forest	4	E-CMF-037	Resonator	Nightmare/Werewolf	[r]	1	500	300	Fire	U	[Continuous] When this card is destroyed, if you don't control any Moon, this card deals 500 damage to you.
Thunder	4	E-CMF-038	Spell	Chant - Instant	[r]	1			Fire	R	This card deals 500 damage to target player or J/resonator.
Archer of the Crescent Moon	4	E-CMF-039	Resonator	Wererabbit	[u][1]	2	200	200	Water	C	[Flying] (This card cannot be blocked be resonators without [Flying].)<br />[Continuous] This card gains [+300/+300] for each other Wererabbit you control.
Charles VII	4	E-CMF-040	Resonator	Nightmare/Human	[u][2]	3	600	600	Water	U	[Activate] Pay {1}, banish a Human resonator: Draw a card.<br />[Activate] Pay {}, banish a Human resonator: Return target resonator to its owner's hand.
Deep Ones	4	E-CMF-041	Resonator	Cthulhu	[u][1]	2	0	200	Water	SR	[Continuous] This card gains[+200/+200] for each resonator in your graveyard
Five Challenges	4	E-CMF-042	Spell	Chant - Standby	[u][1]	2			Water	C	[Trigger] Anytime: Draw a card. If you control five or more Treasury Items, return all resonators your opponent controls to their owner's hands instead.<br />[Continuous] When you put a Treasury Item into a field, put this card from your graveyard into your hand.
Hamelin's Pied Piper	4	E-CMF-043	Resonator	Fairy Tale/Mage	[u][u][3]	5	1000	1000	Water	R	[Enter] Rest target resonator your opponent controls. It doesn't recover during the recovery phase as long as this card is on a field.<br />[Continuous] Whenever this card attacks, rest target resonator your opponent controls. It doesn't recover during the recovery phase as long as this card is on a field.
Heavenly Feathered Robe	4	E-CMF-044	Addition: Resonator	Treasury Item	[u][u][u]	3			Water	U	[Continuous] Add this to a resonator with total cost 2 or less and gain control of it. Attribute of that resonator becomes water.
Inquisition	4	E-CMF-045	Spell	Chant	[u]	1			Water	R	"Rest two recovered resonators you control. If your Ruler is ""Nameless Girl"" or your J-Ruler is ""Jeanne d'Arc, the Flame of Hatred"", rest one recovered resonator you control instead. If you do, destroy target resonator. Its controller may copy this spell and may choose new targets for the copy."
Knight of the New Moon?	4	E-CMF-046	Resonator	Wererabbit/Knight	[u]	1	0	200	Water	C	[Activate] {Rest}: Draw a card, then discard a card.
Nameless Girl	4	E-CMF-047-r,E-CMF-047-j	Ruler				0//1200	0//1200	Water	R	[J-Activate] Pay {R}{W}{2}: If a Human is put into your graveyard from a field this turn, you may pay {0} to play this ability instead.//[Enter] Destroy all other Humans.<br />[Activate] {R}: Prevent all damage from target Human resonator until end of turn.<br />[Activate] Pay {Rest}{1}: This card deals 500 damage to target Human.
One-Inch Boy	4	E-CMF-048	Resonator	Fairy Tale/Human	[u][1]	2	100	300	Water	C	[Continuous] Whenever this card deals damage to a resonator, destroy the resonator.
Pale Moon	4	E-CMF-049	Addition: Field	Moon	[u][2]	3			Water	R	[Continuous] Each Wererabbit you control gains [+200/+200].<br />[Activate] Pay {U}, banish this card: Return target resonator to its owner's hand.
Rabbit Kick	4	E-CMF-050	Spell	Chant - Instant	[u][u]	2			Water	U	Choose one - Return target resonator to its owner's hand; or return up to two target resonators to their owner's hand if your control a Wererabbit resonator.
Rat Catcher's Pipe	4	E-CMF-051	Addition: Resonator	Arcane Item	[u]	1			Water	C	"[Continuous] Resonator with this gains ""[Activate] {Rest}: Rest target resonator.""<br />[Continuous] If the resonator with this is ""Hamelin's Pied Piper"", it gains ""[Activate] Pay {U}: Recover this card.""<br />[Activate] Pay {U}: Return this card to its owner's hand."
Seer of the Blue Moon	4	E-CMF-052-r,E-CMF-052-j	Ruler			0			Water	R	[J-Activate] Pay {0}: You cannot play this ability if you haven't put any Treasury Item into a field this turn.<br />[Continuous] You pay {1} to put chant-standby cards into your chant-standby area rather than pay {2}.//[Activate] Pay {0}: Change the text of target Treasury Item by replacing all instances of one attribute with another one until end of turn.<br />[Activate] Pary {U}{U}{1}: Search your main deck for a Treasury Item, reveal it and put it into your hand. Then shuffle your main deck.
Servant of Kaguya	4	E-CMF-053	Resonator	Wererabbit	[u][2]	3	400	400	Water	C	[Flying]<br />[Continuous] This card gains [+400/+400] for each Treasury Item you control.
Squirmer of the Dark	4	E-CMF-054	Resonator	Cthulhu	[u][2]	3	1000	1000	Water	C	[Continuous] At the beginning of your main phase, put the top three cards from your magic stone deck into your graveyard. If you cannot put three cards into your graveyard this way, banish this card and you lose 1000 life. (If you have less than three cards in your magic stone deck left, put all cards from your magic stone deck into your graveyard instead.)
Stone Bowl of Buddha	4	E-CMF-055	Addition: Field	Treasury Item	[u]	1			Water	U	[Activate] {Rest}: Target resonator cannot be blocked by water resonators until end of turn.
Swordsman of the Full Moon?	4	E-CMF-056	Resonator	Wererabbit	[u][u][2]	4	900	900	Water	SR	[Flying] (This card cannot be blocked be resonators without [Flying].)<br />[Enter] Return target resonator to its owner's hand.
Voice of the False God	4	E-CMF-057	Spell	Chant - Instant	[u][1]	2			Water	C	Banish a resonator you control. If you do, draw two cards. If you banished a Human in this way, draw three cards instead.
Absolute Cake Zone	4	E-CMF-058	Spell	Chant - Instant	[g][1]	2			Wind	C	"Cancel target normal spell. If you control ""Hansel"" or ""Gretel"", draw a card."
Aramis, the Three Musketeers	4	E-CMF-059	Resonator	Fairy Tale/Musketeer	[g][g][1]	3	500	500	Wind	U	[Enter] Produce {G} for each Musketeer resonator you control.
Athos, the Three Musketeers	4	E-CMF-060	Resonator	Fairy Tale/Musketeer	[g][g][2]	4	800	800	Wind	SR	"[Enter] Search your main deck for an [Addition:Resonator], reveal it and put it into your hand. If your Ruler is ""Puss in Boots"" ot your J-Ruler is ""D'Artagnan, the Bayoneteer"", you may put that card on to this card instead. Then shuffle your main deck."
Christie, the Wind Tracker	4	E-CMF-061-r,E-CMF-061-j	Ruler				0//1000	0//1000	Wind	R	[J-Activate] Pay {G}{G}{2}: If your opponent controls a Vampire, Immortal of Werewolf resonator, you may pay {0} to play this ability instead.<br />[Activate] {Rest}: Draw a card. You cannot play this ability if you don't have exactly five cards in your hand.//[Enter] Target non-Human J/resonator loses all abilities until end of turn. At the end of turn, destroy it.
Cottage of Cakes	4	E-CMF-062	Addition: Field	House	[g]	1			Wind	R	"[Continuous] ""Hansel"" and ""Gretel"" you control cannot be targeted by spells or abilities you opponent controls.<br />[Activate] Pay {G},{Rest}: Remove target resonator you control from the game.<br />[Activate] Pay {G},{Rest}, banish this card: Return all resonators removed from the game by this card into your field."
Cowrie of Swallows	4	E-CMF-063	Addition: Field	Treasury Item	[g][2]	3			Wind	U	[Activate] {Rest}: Target wind resonator cannot be targeted by spells or abilities your opponent controls until end of turn.
Crucifix	4	E-CMF-064	Addition: Resonator	Weapon	[g][g]	2			Wind	C	[Continuous] Resonator with this gains [-1000/-1000] if its a Vampire. Otherwise it cannot be attacked or targeted by spells or abilities your opponent controls.
Elvish Bowman	4	E-CMF-065	Resonator	Elf	[g]	1	300	300	Wind	C	[Activate] {Rest}: Destroy target addition.
Elvish Exorcist	4	E-CMF-066	Resonator	Elf	[g][1]	2	500	500	Wind	C	[Enter] Destroy target Vampire resonator.
Elvish Priest	4	E-CMF-067	Resonator	Elf	[g]	1	100	400	Wind	C	[Activate] {Rest}: Produce {G}.
Fina, the Silver Player	4	E-CMF-068	Resonator	Elf	[g][g][1]	3	400	400	Wind	R	"[Continuous] If your Ruler is ""Christie, the Wind Tracker"" or your J-Ruler is ""Helsing, the Vampire Hunter"", each resonator your opponent controls loses its symbol skills.<br />[Continuous] Each otehr Elf you control gains [+400/+400]."
Gretel	4	E-CMF-069	Resonator	Fairy Tale/Human	[g][1]	2	200	200	Wind	U	[Enter] Reveal the top card of your magic stone deck, if it's a wind magic stone, put it into your magic stone area.
Hansel	4	E-CMF-070	Resonator	Fairy Tale/Human	[g][g][1]	3	400	700	Wind	SR	"[Continuous] This card cannot be attacked as long as you control ""Gretel"".<br />[Continuous] Whenever this card deals damage to an opponent, draw a card."
Law of Silence	4	E-CMF-071	Spell	Chant - Instant	[g][g]	2			Wind	R	Target player canno play normal spells and summon spells until end of turn.
Musketeer's Bayonet	4	E-CMF-072	Addition: Resonator	Weapon	[g]	1			Wind	C	[Continuous] Resonator with this gains [+400/+0]. If it's a Musketeer, it also gains [First Strike] and [Pierce].
Porthos, the Three Musketeers	4	E-CMF-073	Resonator	Fairy Tale/Musketeer	[g][g][1]	3	700	400	Wind	C	[Pierce] (If this card deals more battle damage than the lethal damage to J/resonator, it deals excess damage to your opponent.)
Puss in Boots	4	E-CMF-074-r,E-CMF-074-j	Ruler				0//1000	0//800	Wind	R	"[J-Activate] Pay {9}: If you control ""Athos, the Three Musketeers"", you pay {3} less to play this ability. So does ""Aramis, the Three Musketeers"" and ""Porthos, the Three Musketeers"".<br />[Continuous] You may pay {1} less to play Musketeer resonators.//[Pierce]<br />[Target Attack]<br />[Continuous] Each Musketeer resonator you control gains [+400/+400]. "
Siege Warfare	4	E-CMF-075	Spell	Chant - Standby	[g][g][3]	5			Wind	C	"[Trigger] You Ruler is ""Puss in Boots"" or your J-Ruler is ""D'Artagnan, the Bayoneteer"", and you control ""Athos, the Three Musketeers"", ""Porthos, the Three Musketeers"" and ""Aramis, the Three Musketeers"": Destroy target resonator or J-Ruler."
Silver Bullet	4	E-CMF-076	Spell	Chant	[g][1]	2			Wind	U	"If your Ruler is ""Christie, the Wind Tracker"" or your J-Ruler is ""Helsing, the Vampire Hunter"", you may pay {1} less to play this card.<br />Search your main deck for a wind resonator, reveal it and put it into your hand. Then shuffle your main deck."
Alucard, the Dark Noble	4	E-CMF-077-r,E-CMF-077-j	Ruler				0//1000	0//1000	Darkness	R	[J-Activate] Pay {0}: You cannot play this abilith if you don't control a Vampire resonator and a resonator your opponent controlled hasn't entered a graveyard this turn.<br />[Activate] {Rest}: Target resonator gains [-0/-300] until end of turn.//[Flying] (This card cannot be blocked by resonators without [Flying].)<br />[Imperishable] (If this card would be destroyed, move this card to your Ruler area as a Ruler without losing any abilities.)<br />[Continuous] Whenever a resonator your opponent controls is put into a graveyard, if it was dealt damage by this card this turn, put it into your field under your control. It gains Nightmare and Vampire in addition to its own race.
Alvarez, the Demon Castle	4	E-CMF-078	Addition: Field	Castle	[b][1]	2			Darkness	R	[Continuous] Each Vampire you control gains [+200/+200],<br />[Activate] Pay {B}, banish this card: Put target Vampire resonator from your graveyard into your hand.
Black Coffin of Vampires	4	E-CMF-079	Addition: Resonator	Tool	[b][b]	2			Darkness	C	[Continuous] Vampire resonator with this cannot be targeted by spells or abilities your opponent controls. Otherwise, it cannot attack or block.<br />[Activate] Pay {B}: Return this card to its owner's hand.
Bloodsucking Impulse	4	E-CMF-080	Spell	Chant - Instant	[b][1]	2			Darkness	C	Target Vampire you control deals damage equal to its ATK to another target resonator. Then you gain life equal to half of that much damage. (Rounded up to the nearest 100.)
Carmilla, the Queen of Vampires	4	E-CMF-081	Resonator	Vampire	[b][b][2]	4	800	800	Darkness	SR	"[Enter] Destroy target non-Vampire resonator. If your Ruler is ""Alucard, the Dark Noble"" or your J-Ruler is ""Dracula, the Demonic One"", and the resonator destroyed this way is a Human, put it into your field under your control. It loses all races and becomes a Vampire."
Cinderella, the Ashen Maiden	4	E-CMF-082	Resonator	Nightmare/Human	[b][b]	2	400	400	Darkness	SR	[Continuous] Whenever this card deals damage to your opponent, you may search your main deck for a Prince resonator, reveal it and put it into your hand. Then shuffle your main deck.<br />[Activate] Banish a resonator: this card deals 200 damage to each resonator your opponent controls.
Deadman Prince	4	E-CMF-083	Resonator	Nightmare/Immortal/Prince	[b][2]	3	500	500	Darkness	C	[Enter] Put target resonator from your graveyard into your hand.
Jewels on Dragon's Neck	4	E-CMF-084	Addition: Field	Treasury Item	[b][2]	3			Darkness	U	[Activate] Pay {B},{Rest}: Put target dark addition from your graveyard into your hand.
Lora, the Blood Speaker	4	E-CMF-085	Resonator	Vampire	[b][1]	2	300	300	Darkness	U	[Enter] Search your main deck for a Vampire resonator, reveal it and put it into your hand. Then shuffle your main deck.
Midnight Bell	4	E-CMF-086	Spell	Chant - Standby	[b][1]	2			Darkness	C	[Trigger] Total number of all resonators and all magic stones is twelve: Each resonator your opponent controls loses all abilities and becomes [0/200] until end of turn.
Pandora, Girl of the Box (dark)	4	E-CMF-013-r,E-CMF-087-j	Ruler				0//400	0//800	Darkness	R	[J-Activate] Pay {W}{B}{3}.//[Enter] Your opponent discards all cards from his or her hand.
Pumpkin Witch	4	E-CMF-088	Resonator	Nightmare/Witch	[b]	3	300	300	Darkness	C	[Enter] Each resonator you control gains [Flying] and [Swiftness] until end of turn.
Resurrection of Vampire	4	E-CMF-089	Spell	Chant - Instant	[b][b][2]	4			Darkness	U	Put a Vampire resonator from your graveyard into your field. This triggers its [Enter] ability.
Romeo, the Despair	4	E-CMF-090	Resonator	Nightmare/Immortal	[b]	1	300	300	Darkness	U	"[Continuous] When this card is put into your graveyard from a field, if you control ""Juliet, the Hope"", you may pay {B}. If you do, put this card from your graveyard into your field."
Servant of Vampire	4	E-CMF-091	Resonator	Vampire	[b]	1	200	200	Darkness	C	[Continuous] As your opponent plays spells or abilities targeting a Vampire you control, he or she must choose this card as one of its target if able.
Slipper of Cinderella	4	E-CMF-092	Addition: Resonator	Arcane Item	[b]	1			Darkness	C	[Continuous] Resonator with this gains [+600/+600] if it's dark and its printed ATK and DEF is [400/400]. Otherwise, it gains [-400/-400].
Spiral of Despair	4	E-CMF-093	Spell	Chant	[b][b]	2			Darkness	R	"Your opponent discards two cards. If your Ruler is ""Pandora, Girl of the Box"" or your J-Ruler is ""Pandora of Light"" or ""Pandora of Dark"", he or she discards two cards at random instead."
Vampire Bat	4	E-CMF-094	Resonator	Vampire	[b][1]	2	0	200	Darkness	C	[Flying] (This card cannot be blocked by resonators without [Flying].)<br />[Continuous] Whenever this card deals damage, you gain that much life.<br />[Activate] Pay {B}: This card gains [+200/+0] until end of turn.
Vampire's Staff	4	E-CMF-095	Resonator	Vampire	[b][1]	2	400	400	Darkness	R	[Continuous] At the beginnig of your recovery phase, reveal the top card of your main deck. This card deals 100 damage to target player for each will symbol on the revealed card attribute cost and you gain that much life.
Magic Stone of Black Silence	4	E-CMF-096	Special Magic Stone							R	[Continuous] Treat this card as wind magic stone and dark magic stone.<br />[Activate] {Rest}: Produce {G} or {B}.
Magic Stone of Deep Wood	4	E-CMF-097	Special Magic Stone							R	[Continuous] Treat this card as wind magic stone and water magic stone.<br />[Activate] {Rest}: Produce {G} or {U}.
Magic Stone of Hearth's Core	4	E-CMF-098	Special Magic Stone							R	[Continuous] Treat this card as fire magic stone and water magic stone.<br />[Activate] {Rest}: Produce {R} or {U}.
Magic Stone of Heat Ray	4	E-CMF-099	Special Magic Stone							R	[Continuous] Treat this card as light magic stone and fire magic stone.<br />[Activate] {Rest}: Produce {W} or {R}.
Magic Stone of Heaven's Rift 	4	E-CMF-100	Special Magic Stone							R	[Continuous] Treat this card as light magic stone and dark magic stone.<br />[Activate] {Rest}: Produce {W} or {B}.
Breath of the God	5	E-TAT-001	Spell	Chant - Instant	[w][1]	2			Light	C	You may pay {W}{1} less to play this card, if it targets a Saint. Target J/resonator you control cannot be targeted by spells or abilities until end of turn. Draw a card.
Caterina, the Saint of Fantasy	5	E-TAT-002	Resonator	Fantasy/Saint	[w][w][1]	3	600	600	Light	U	[Continuous] Other resonators you control gain [+100/+100]
Don Quijote, the Wandering Knight	5	E-TAT-003	Resonator	Knight/Human	[w][w][2]	4	900	900	Light	R	[Awakening]{W}:[Enter] Resonators you control cannot be destroyed until end of turn
Grimm, the Avenger of Fairy Tales	5	E-TAT-004	Resonator	Fairy Tale/Human	[w][w]	2	500	500	Light	SR	[Enter] Choose target resonator. Remove it from the game if it's darkness. Otherwise, it gains [+200/+200] until end of turn. <br/> [Awakening] {W} : [Enter] if your J/ruler is « Sacred Princess of guidance » or « Lumia, the creator of Hope », J/resonator your opponent contols lose all abilities until end of turn
Guardian of Tower	5	E-TAT-005	Resonator	Ancient/Human	[w][1]	2	200	600	Light	C	[Continuous] [addiotion:Field] cards you control cannot be targeted by spells or abilities your opponent controls <br/> [Continuous] if you control a Tower, this card gains [+0/+600]
Jeanne d'Arc, the Awakening Purity	5	E-TAT-006	Resonator	Saint/Human	[w][w][w]	3	700	700	Light	SR	[Continuous] Each turn, prevent the first damage that would be dealt to a fantasy or human J/resonator you control <br/> [Awakening]{W} :[Enter] You may put a nonspell Fantasy card from your hand into your field.
Jump to the Sky	5	E-TAT-007	Spell	Chant - Standby	[w][w][2]	4			Light	C	[Trigger] When a resonator you control deals damage to your opponent : recover that resonator. You may put three hope counters on a « Lumiel, the tower of hope » you control.
Light of Lumia	5	E-TAT-008	Spell	Chant - Instant	[w][3]	4			Light	U	If your J/ruler is « Sacred Princess of Guidance » or Lumia, the creator of hope », you may pay {2} less to play this card. Choose one – Rest all non-light, non-Fairy Tale resonators ; or remove target non-light, non-Fairy tale resonator from the game
Longinus, the Holy Lance	5	E-TAT-009	Addition: Resonator	Relic/Treasury Item	[w][w]	2			Light	C	[Continuous] Resonator with this gains [+500/+500], cannot be targeted by darkness spells or darkness card's abilities and prevent all damage that would be dealt to it by darkness cards
Lumiel, the Tower of Hope	5	E-TAT-010	Addition: Field	Tower	[w][1]	2			Light	R	[Continuous] At the beginning of your main phase, put hope counters equal to the number of resonators you control on this card. Then, if there are ten or more hope counters on this card, banish it and destroy all resonators and additions your opponent controls
